account_id,customer_id,Account_type,currency_code,current_balance,available_balance,hold_amount,minimum_balance,Interest_rate,routing_number,Opened_date
925955,1152938,Savings,USD,125430.07,114226.04,11204.03,100,0.0309,708185647,2020-10-12
695240,5807163,Checking,USD,837517.26,791646.4,45870.86,0,0.0196,150253253,2021-12-08
154036,2473608,Checking,USD,155896.71,148306.73,7589.98,0,0.0113,992165252,2020-12-19
239754,4279483,Checking,USD,863767.04,850080.38,13686.66,0,0.0123,646325770,2022-01-21
578737,4051507,Savings,USD,820477.94,785976.17,34501.77,100,0.048,245010218,2020-12-19
797345,9087435,Checking,USD,716451.2,716406.07,45.13,0,0.0154,666228369,2020-02-05
333456,2485381,Checking,USD,221513.3,211319.06,10194.24,0,0.0167,803254346,2024-01-07
746461,9396545,Checking,USD,572066.95,555009.88,17057.07,0,0.0152,502086025,2021-02-18
366237,3376697,Savings,USD,117931.91,110824.03,7107.88,100,0.027,563609365,2023-06-12
768165,7504808,Checking,USD,556320.31,534833.31,21487.0,0,0.0169,776751756,2021-06-01
472560,3843272,Checking,USD,781294.39,742304.61,38989.78,0,0.0137,969228941,2024-03-11
773558,3070013,Checking,USD,456509.84,438167.12,18342.72,0,0.0167,190588652,2023-10-27
639119,6233608,Savings,USD,367036.09,348987.7,18048.39,100,0.0383,716465183,2022-08-24
808026,4674388,Savings,USD,479992.98,443414.61,36578.37,100,0.0411,412731861,2024-02-22
171392,3427733,Checking,USD,741067.42,711118.5,29948.92,0,0.0186,285102248,2021-10-30
541018,2749828,Checking,USD,209369.1,189752.44,19616.66,0,0.0138,527579719,2023-07-23
923417,8464696,Savings,USD,566961.79,520060.91,46900.88,100,0.0353,619680496,2023-05-13
223861,6675914,Checking,USD,766084.53,735112.26,30972.27,0,0.0115,210808142,2024-07-14
850453,6280331,Savings,USD,534563.51,485939.99,48623.52,100,0.0212,949092513,2020-12-23
101624,7744795,Savings,USD,617905.91,614312.6,3593.31,100,0.0409,558550344,2020-08-18
411658,4713450,Savings,USD,812627.25,791317.01,21310.24,100,0.0323,156346400,2020-11-08
148955,5953905,Checking,USD,7167.96,6969.59,198.37,0,0.0109,146547444,2024-05-14
639286,8317619,Checking,USD,433297.53,410780.07,22517.46,0,0.0122,724495174,2024-05-24
756189,6261690,Checking,USD,828949.76,801597.11,27352.65,0,0.0148,203574980,2021-01-11
156982,6881610,Savings,USD,934119.29,865312.23,68807.06,100,0.0213,509785862,2021-12-08
828522,7625083,Checking,USD,318444.47,314663.96,3780.51,0,0.0177,290616917,2024-10-17
495055,7499412,Checking,USD,81743.38,77090.25,4653.13,0,0.0184,990795397,2023-08-10
800527,2477487,Checking,USD,938460.04,863021.35,75438.69,0,0.02,725826076,2023-04-06
796876,5832567,Checking,USD,775024.25,735285.48,39738.77,0,0.0101,366506990,2022-06-19
842422,3551359,Checking,USD,777635.4,742198.7,35436.7,0,0.0176,327690561,2024-02-14
353556,2221209,Savings,USD,963791.27,947211.96,16579.31,100,0.0292,851601341,2023-10-11
151061,1945017,Savings,USD,815461.41,736997.98,78463.43,100,0.0311,273879698,2023-02-17
598312,5413092,Checking,USD,594624.12,581473.54,13150.58,0,0.0118,722326576,2021-01-30
460732,9820624,Savings,USD,979376.01,940612.39,38763.62,100,0.0434,456115354,2020-12-21
847427,4896008,Checking,USD,523444.84,512874.29,10570.55,0,0.0182,859942600,2020-09-05
191389,1752255,Checking,USD,311415.19,288484.31,22930.88,0,0.0169,883910115,2023-05-06
109748,5273278,Savings,USD,27269.03,26110.05,1158.98,100,0.0312,755488000,2022-12-27
269109,4677585,Checking,USD,682491.93,655575.78,26916.15,0,0.013,685484934,2024-03-17
859235,5071765,Savings,USD,586850.67,538119.09,48731.58,100,0.0205,835461313,2022-09-26
496331,2975297,Savings,USD,696268.93,666642.46,29626.47,100,0.0314,803360650,2020-10-23
673066,9879270,Savings,USD,349050.63,330394.88,18655.75,100,0.0281,837675184,2020-07-08
918111,1728052,Checking,USD,705121.16,651288.02,53833.14,0,0.0144,879826013,2022-11-10
584972,5598122,Checking,USD,124082.02,115436.06,8645.96,0,0.0168,995266104,2020-02-14
126618,2872634,Checking,USD,308248.43,307906.54,341.89,0,0.0107,830419500,2019-12-15
699617,3069826,Savings,USD,846619.69,823912.69,22707.0,100,0.0328,117692453,2020-03-15
333709,1470381,Savings,USD,773313.59,754265.85,19047.74,100,0.0277,989030132,2024-03-20
231464,2357163,Savings,USD,342168.04,341068.07,1099.97,100,0.038,801084939,2022-06-15
245027,7201018,Savings,USD,176271.25,169320.68,6950.57,100,0.0458,843556911,2022-12-02
861970,2256482,Savings,USD,144794.87,135753.79,9041.08,100,0.0211,667096374,2024-06-02
379303,1756458,Savings,USD,436799.72,399238.1,37561.62,100,0.0242,666253379,2020-10-30
103471,2748623,Checking,USD,607075.12,563881.68,43193.44,0,0.018,995356717,2019-12-29
783568,5799504,Checking,USD,620553.37,607099.52,13453.85,0,0.0172,227796202,2022-02-05
999968,6731330,Checking,USD,881865.0,878159.45,3705.55,0,0.0145,931112368,2020-05-18
424821,7796448,Savings,USD,400260.66,387211.51,13049.15,100,0.0347,738426799,2020-07-23
832733,6018857,Checking,USD,502747.12,491929.31,10817.81,0,0.0186,799173022,2023-06-09
654764,1479610,Checking,USD,670367.0,650037.34,20329.66,0,0.0172,169118726,2020-11-30
337681,4645123,Savings,USD,611376.52,598157.56,13218.96,100,0.0478,863557097,2020-10-08
683839,3171957,Savings,USD,641822.42,641629.4,193.02,100,0.0289,414020112,2023-01-15
941601,8538824,Checking,USD,85606.66,78047.46,7559.2,0,0.0123,329839637,2024-08-24
453662,1358987,Checking,USD,942053.3,931932.15,10121.15,0,0.0194,260393356,2019-12-08
857588,2177060,Checking,USD,795029.38,790969.45,4059.93,0,0.0197,640745602,2023-06-11
710238,3948890,Checking,USD,582308.84,535849.26,46459.58,0,0.0155,782940414,2021-12-19
109918,6232682,Checking,USD,871313.95,803936.63,67377.32,0,0.0132,825480757,2024-10-13
808119,9860676,Savings,USD,400120.43,373338.97,26781.46,100,0.0342,573416515,2022-07-07
662765,6714772,Checking,USD,395022.88,360492.48,34530.4,0,0.0177,192760304,2020-03-21
133637,1348506,Savings,USD,720979.75,709212.98,11766.77,100,0.032,579622205,2023-01-18
462027,7397582,Checking,USD,26299.32,24352.9,1946.42,0,0.0181,868369797,2021-09-25
814503,9540056,Savings,USD,355003.07,340430.13,14572.94,100,0.0315,946765674,2022-08-22
294507,4748739,Checking,USD,490570.82,480662.9,9907.92,0,0.0197,184950875,2023-06-20
610707,8899342,Savings,USD,412650.46,384271.35,28379.11,100,0.0398,210127023,2021-11-21
938270,3403193,Savings,USD,521231.74,498937.83,22293.91,100,0.0346,727389977,2023-02-19
542102,6794950,Checking,USD,499852.7,484582.14,15270.56,0,0.0192,467775559,2024-10-02
661603,3629395,Checking,USD,937384.32,869570.98,67813.34,0,0.0161,622349214,2020-06-30
498772,6752576,Checking,USD,422956.37,403174.57,19781.8,0,0.0168,188236248,2023-08-08
438855,1759672,Savings,USD,697959.3,692879.73,5079.57,100,0.0322,959742541,2023-02-25
149092,8594773,Savings,USD,280768.84,267425.06,13343.78,100,0.0475,993036794,2020-02-28
464921,3916773,Checking,USD,435032.03,427798.84,7233.19,0,0.0133,549307814,2020-07-29
306225,1627006,Savings,USD,327409.13,306466.2,20942.93,100,0.0427,885833309,2024-09-20
212096,3262436,Checking,USD,972800.48,924559.64,48240.84,0,0.0167,104362013,2022-10-12
167737,6749973,Savings,USD,232411.11,210019.95,22391.16,100,0.0204,598737033,2022-03-24
608997,6193794,Savings,USD,996143.78,917671.81,78471.97,100,0.0273,949041134,2024-07-12
614450,3136001,Checking,USD,240356.76,239029.98,1326.78,0,0.0123,477131303,2022-06-17
432916,7499412,Checking,USD,156203.2,142969.27,13233.93,0,0.0159,788580830,2020-12-12
208281,9877967,Checking,USD,192902.65,184841.26,8061.39,0,0.0121,371146397,2021-04-01
592783,6202094,Savings,USD,869689.64,836981.03,32708.61,100,0.0278,500165645,2024-01-07
526164,4816923,Savings,USD,383532.77,379385.7,4147.07,100,0.0425,251534298,2024-09-27
633086,7885696,Savings,USD,102131.2,94005.12,8126.08,100,0.0206,491309153,2021-12-01
528568,5187880,Savings,USD,904692.0,857992.32,46699.68,100,0.0432,918226419,2021-08-01
165297,9288134,Checking,USD,520121.71,515158.36,4963.35,0,0.0175,828759539,2021-09-22
753308,3960516,Checking,USD,896272.07,834803.0,61469.07,0,0.0136,545218301,2021-02-24
871600,6211639,Checking,USD,476762.76,437315.43,39447.33,0,0.0105,593772221,2022-05-02
612399,8753403,Savings,USD,921396.56,846416.17,74980.39,100,0.0309,982317245,2020-11-28
443634,2148430,Checking,USD,925539.26,924939.89,599.37,0,0.0191,481774522,2021-10-13
170571,1791301,Savings,USD,783516.94,714100.12,69416.82,100,0.0328,807122633,2021-03-15
552772,4320146,Checking,USD,437993.38,408294.95,29698.43,0,0.0134,331122796,2019-12-10
818181,4721113,Savings,USD,896100.65,839399.92,56700.73,100,0.0237,218062593,2023-12-05
717415,8276632,Checking,USD,285884.72,265194.63,20690.09,0,0.0173,660688249,2023-01-27
708754,7722086,Checking,USD,186442.07,173372.97,13069.1,0,0.0118,822421904,2023-07-13
288731,6738982,Savings,USD,219605.07,207378.19,12226.88,100,0.0228,111778581,2024-04-09
647147,7047383,Savings,USD,363439.33,349873.39,13565.94,100,0.0465,599675295,2023-03-23
617639,9261250,Checking,USD,988374.17,968103.72,20270.45,0,0.0122,144710495,2024-04-06
539878,5143543,Checking,USD,914184.92,905041.98,9142.94,0,0.0159,434488321,2020-05-02
373736,2840033,Checking,USD,63010.31,60163.96,2846.35,0,0.0103,406161467,2023-06-10
519463,7282170,Checking,USD,733251.98,690750.3,42501.68,0,0.0125,790093354,2020-07-24
486493,2338067,Checking,USD,559650.32,535249.83,24400.49,0,0.0166,833376851,2019-12-20
852055,3311922,Savings,USD,968456.46,911992.52,56463.94,100,0.0203,691244832,2022-09-21
271828,8394482,Checking,USD,946349.12,928316.72,18032.4,0,0.0148,251606000,2020-08-26
