acct_num,cust_number,product_type,currency,balance,usable_balance,min_balance,rate,aba_number,creation_date,branch_code,account_category
755736,6429142,Savings,USD,901141.18,822016.61,100,0.041,766394098,2020-02-25,8465,Joint
627358,1911379,Checking,USD,431119.12,415859.12,0,0.0448,838529654,2021-02-09,9668,Joint
966842,4479935,Savings,USD,924005.71,919067.32,100,0.0265,626519585,2024-09-09,2672,Joint
162980,9345860,Savings,USD,385791.1,349370.52,100,0.0251,699265261,2024-09-19,2475,Individual
656924,5064288,Checking,USD,739580.56,713396.4,0,0.0116,233996850,2021-11-26,1055,Individual
572940,1161180,Savings,USD,646415.67,625435.57,100,0.0447,997023079,2023-08-06,3493,Joint
728967,3360451,Checking,USD,374076.08,346707.51,0,0.0486,552387293,2024-08-23,5149,Joint
912841,3870048,Checking,USD,387369.27,367157.96,0,0.033,299168012,2024-01-15,8345,Joint
217573,6141198,Checking,USD,351564.83,336927.02,0,0.0127,722198016,2020-08-11,2351,Joint
770406,5997097,Savings,USD,75769.81,73069.42,100,0.0368,457288935,2021-09-21,9458,Joint
458596,8244310,Savings,USD,188544.19,182534.77,100,0.033,495979572,2023-01-10,1078,Joint
705435,4594921,Savings,USD,332921.16,316762.72,100,0.0306,478052914,2023-04-16,8438,Joint
661095,8841710,Savings,USD,715592.31,695314.32,100,0.0132,778654690,2020-12-03,9394,Individual
804559,7095248,Savings,USD,699144.97,656831.65,100,0.0218,727650304,2020-06-04,9694,Individual
205288,8970246,Savings,USD,100416.93,94680.91,100,0.0321,339291860,2024-10-03,7018,Joint
680274,1880652,Checking,USD,76959.38,71440.25,0,0.0458,728503185,2024-08-08,4489,Joint
884352,3650015,Checking,USD,36988.8,33682.48,0,0.0477,422510150,2021-08-16,2643,Individual
857167,9007801,Savings,USD,331751.29,324381.11,100,0.0417,290809554,2024-07-27,4921,Joint
575779,5608257,Checking,USD,412194.81,375115.82,0,0.036,445264356,2023-01-28,6246,Individual
499888,3643593,Savings,USD,702738.29,657542.51,100,0.0285,306917728,2022-09-29,3859,Individual
991240,2890040,Savings,USD,919587.64,845634.15,100,0.0413,727098775,2023-05-24,6613,Individual
723601,4378202,Savings,USD,222670.18,213381.43,100,0.0105,217919216,2023-05-07,7344,Joint
791578,3552136,Savings,USD,977894.48,977035.06,100,0.0107,910242096,2021-04-04,7572,Joint
486423,2731828,Checking,USD,248076.77,247660.74,0,0.0446,583816347,2024-07-27,9180,Joint
906443,2487572,Savings,USD,958613.4,918358.23,100,0.0373,678105303,2024-04-13,5306,Individual
314620,1675548,Checking,USD,174192.75,157064.18,0,0.0445,970100066,2020-04-07,2632,Joint
728209,5569811,Checking,USD,973360.48,927157.68,0,0.0419,241092413,2022-01-21,9265,Individual
798682,2163630,Savings,USD,155436.89,144553.34,100,0.0499,624644016,2024-06-07,1759,Individual
262853,3130106,Checking,USD,98666.7,98611.83,0,0.0408,996206034,2024-05-09,6590,Joint
680927,2035907,Checking,USD,933373.23,867420.7,0,0.0436,554684297,2022-12-06,7337,Joint
388677,7471948,Checking,USD,451749.87,434193.23,0,0.012,783427735,2020-05-03,6287,Individual
151430,6082717,Savings,USD,758845.12,754271.98,100,0.012,779573940,2022-05-19,2746,Individual
185173,8034775,Savings,USD,112229.92,112205.81,100,0.0272,809641608,2023-01-16,2010,Joint
260357,7011838,Checking,USD,223296.72,205498.19,0,0.0206,402071182,2020-10-09,9694,Individual
437346,2820307,Savings,USD,939268.44,849659.68,100,0.0284,572622280,2020-06-02,6467,Individual
522454,6584844,Savings,USD,880161.23,831831.4,100,0.0178,747793387,2022-09-14,1730,Individual
224344,5523800,Checking,USD,738704.0,685143.16,0,0.0379,469321635,2021-09-24,7164,Individual
339939,2721404,Savings,USD,332367.19,326823.32,100,0.0199,289158202,2020-02-14,6693,Individual
830095,5642259,Checking,USD,81557.05,76883.19,0,0.0429,536401782,2022-01-06,1117,Joint
660497,2960067,Checking,USD,799149.57,787434.24,0,0.0205,532777508,2022-04-25,7614,Joint
845619,5348453,Savings,USD,113975.13,108901.32,100,0.0165,190178649,2023-07-11,3416,Individual
521574,4299424,Checking,USD,963326.95,876531.39,0,0.0121,645172583,2023-09-06,3762,Joint
621694,7337469,Savings,USD,253874.01,253028.82,100,0.0431,568197899,2022-06-27,4563,Individual
123555,1741326,Savings,USD,231981.62,230912.96,100,0.0298,992228621,2021-08-18,9060,Individual
542483,4185755,Checking,USD,85142.15,78788.59,0,0.0304,971401315,2020-03-25,5725,Joint
542993,7135603,Checking,USD,952105.21,903441.0,0,0.0305,732672279,2023-08-14,3633,Joint
873674,9319596,Savings,USD,804517.79,781877.95,100,0.0464,266793625,2024-01-10,3727,Individual
502553,4065157,Checking,USD,536011.15,483139.12,0,0.0235,575972541,2024-05-07,1927,Individual
935475,4614959,Checking,USD,572204.89,558005.07,0,0.0321,781921185,2024-10-19,2489,Joint
609296,1947625,Checking,USD,513952.09,467690.18,0,0.0124,870834277,2023-04-25,9854,Joint
448859,4875624,Checking,USD,405891.21,397106.35,0,0.0146,624995140,2024-01-13,1473,Individual
837461,2153311,Savings,USD,167868.29,157651.77,100,0.0156,990712019,2020-09-29,9067,Individual
578196,2154595,Savings,USD,871942.79,831098.83,100,0.0475,691111900,2021-01-07,1086,Joint
381025,2430122,Savings,USD,826766.61,749062.27,100,0.0357,583531755,2021-07-22,6017,Joint
873533,4065824,Savings,USD,455371.26,446728.49,100,0.0418,722661528,2021-11-24,2909,Joint
143101,7649771,Checking,USD,886446.56,819639.97,0,0.0409,636254137,2022-12-14,6828,Joint
994709,2132804,Savings,USD,918155.0,861890.69,100,0.0246,301033523,2021-11-10,5918,Joint
