cust_number,social_security_num,firstname,lastname,birthdate,email_address,contact_number,street_address,city,state_code,postal_code,nation,fico_score,annual_income,customer_type
5614226,350-38-3286,Mary,Smith,1996-01-27,mary.smith@example.com,(204)-792-9935,1524 Elm St,Houston,NY,13905,United States,395,56236.56,Personal
8038374,325-67-5557,William,Jones,2002-08-14,william.jones@example.com,(990)-106-3615,7024 1st Ave,Chicago,CA,38221,United States,644,42265.23,Business
6770619,718-43-1711,Mary,Davis,1995-06-20,mary.davis@example.com,(570)-649-3045,6301 Main St,Phoenix,IL,92397,United States,670,99282.26,Personal
5855124,181-39-2654,James,Jones,1964-02-07,james.jones@example.com,(384)-564-6977,2764 1st Ave,Chicago,CA,97841,United States,573,114218.44,Personal
9961380,846-41-3677,Elizabeth,Williams,1971-06-22,elizabeth.williams@example.com,(488)-376-4598,5413 Main St,Los Angeles,NY,51347,United States,710,62128.91,Personal
4567281,771-73-7482,Elizabeth,Davis,1987-09-03,elizabeth.davis@example.com,(569)-246-5339,2387 Broadway,Phoenix,AZ,44438,United States,738,137738.75,Business
3320821,621-73-2489,Linda,Jones,1997-10-21,linda.jones@example.com,(148)-981-2796,2604 Broadway,Houston,AZ,18326,United States,694,75794.31,Business
1192619,796-24-9797,William,Brown,1997-05-13,william.brown@example.com,(373)-887-6573,1927 1st Ave,Houston,CA,69470,United States,303,144457.91,Business
9517485,208-90-5889,William,Williams,2005-07-05,william.williams@example.com,(754)-619-4258,2604 1st Ave,Los Angeles,AZ,79514,United States,300,101873.35,Business
7089806,999-49-4923,James,Johnson,1935-03-14,james.johnson@example.com,(346)-999-2290,1503 2nd Ave,New York,AZ,26483,United States,431,109170.1,Personal
8099076,316-79-4295,Robert,Moore,1993-12-17,robert.moore@example.com,(419)-508-7118,7277 Elm St,Houston,NY,42493,United States,530,37683.11,Personal
4860684,702-38-1117,Elizabeth,Moore,1936-05-15,elizabeth.moore@example.com,(824)-746-1964,3850 Main St,New York,IL,19287,United States,826,58560.56,Business
3219824,840-83-8744,Patricia,Moore,1951-10-20,patricia.moore@example.com,(903)-584-7669,3219 Main St,New York,TX,56438,United States,733,79332.27,Personal
7754864,845-53-2790,Mary,Smith,1952-04-22,mary.smith@example.com,(296)-294-9786,7450 Broadway,Houston,CA,46509,United States,773,59976.77,Personal
2642635,151-93-9856,Barbara,Moore,2005-01-01,barbara.moore@example.com,(115)-195-4872,2824 2nd Ave,Houston,TX,38016,United States,710,138293.14,Personal
7550190,371-68-5673,Michael,Smith,1967-12-14,michael.smith@example.com,(813)-848-8973,2636 Broadway,Chicago,CA,17665,United States,362,119757.07,Personal
8999183,614-77-3579,James,Taylor,1935-02-07,james.taylor@example.com,(620)-182-4044,1222 Elm St,New York,CA,62923,United States,422,142991.54,Personal
1666754,734-20-7868,Elizabeth,Taylor,1988-12-22,elizabeth.taylor@example.com,(697)-678-9565,5283 1st Ave,Los Angeles,IL,41285,United States,571,77494.3,Business
2217071,109-68-2638,Barbara,Davis,1936-07-28,barbara.davis@example.com,(650)-318-9288,4445 Broadway,Chicago,NY,42018,United States,678,64198.49,Business
