card_id,customer_id,card_type,card_status,credit_limit,current_balance,available_credit,minimum_payment,payment_due_date,issue_date,expiration_date,security_code
109612209,6644374,Business,Active,17600.94,6223.03,11377.91,175.38,2024-11-04,2023-03-23,2029-04-28,633
991150027,1892425,Rewards,Expired,5222.25,3062.24,2160.01,69.34,2024-11-08,2022-12-19,2027-07-10,730
557405390,1945017,Cashback,Expired,11483.28,8413.41,3069.87,140.69,2024-11-09,2024-10-12,2026-02-13,582
703211406,3030490,Rewards,Expired,5415.19,567.02,4848.17,25.0,2024-11-10,2023-05-09,2026-05-26,898
105817076,4814971,Cashback,Blocked,5084.19,1417.15,3667.04,31.74,2024-11-11,2024-09-16,2029-08-17,693
482909336,2571535,Rewards,Blocked,9920.83,7016.4,2904.43,161.57,2024-11-09,2023-01-08,2025-12-10,590
928973113,1627006,Rewards,Expired,3098.67,573.77,2524.9,25.0,2024-11-08,2022-01-29,2027-02-01,438
352213819,2286412,Cashback,Expired,13637.34,75.87,13561.47,25.0,2024-11-10,2022-01-08,2025-07-08,144
394566313,9983657,Rewards,Active,1358.52,327.36,1031.16,25.0,2024-11-02,2024-09-12,2028-07-22,828
218245291,8327570,Cashback,Active,7182.3,5225.64,1956.66,71.92,2024-11-05,2022-08-07,2028-04-23,764
136378174,1358087,Rewards,Expired,3185.41,1765.63,1419.78,25.0,2024-11-01,2021-12-09,2028-06-11,533
403868492,2387391,Business,Blocked,31885.13,1914.25,29970.88,25.0,2024-11-12,2022-01-09,2028-04-24,677
867576271,1745516,Business,Expired,46544.16,21708.42,24835.74,541.33,2024-11-09,2023-05-06,2027-03-12,383
307472185,3388805,Rewards,Expired,1243.6,193.4,1050.2,25.0,2024-11-10,2023-04-10,2029-07-25,671
964140208,9324019,Business,Expired,44812.57,7756.73,37055.84,192.08,2024-11-09,2022-05-26,2028-04-29,384
426547768,9696620,Cashback,Active,5466.07,2273.73,3192.34,43.43,2024-11-11,2024-04-09,2025-12-06,829
873046173,7103444,Cashback,Active,10945.62,8243.86,2701.76,218.98,2024-11-01,2022-01-02,2029-02-24,809
137032964,9921063,Business,Expired,12807.15,8224.67,4582.48,238.09,2024-11-04,2022-09-05,2026-11-08,724
132228728,9343672,Rewards,Expired,14372.05,1296.56,13075.49,38.01,2024-11-05,2022-05-14,2025-04-29,348
917746850,4931940,Rewards,Blocked,3816.29,1427.4,2388.89,25.0,2024-11-13,2022-01-19,2027-01-23,744
373977657,1538873,Rewards,Blocked,1449.96,897.99,551.97,25.0,2024-11-05,2023-10-15,2026-09-05,193
754301568,7559878,Cashback,Active,7670.71,1605.43,6065.28,44.88,2024-11-12,2024-06-09,2028-06-18,957
428612628,3143849,Rewards,Active,3220.28,865.98,2354.3,25.0,2024-11-02,2023-05-08,2026-08-09,630
161946178,2027051,Cashback,Expired,1848.66,1247.23,601.43,33.24,2024-11-01,2022-12-02,2028-03-20,580
964842760,7570285,Business,Expired,20067.71,9137.26,10930.45,144.62,2024-11-14,2023-12-28,2025-03-02,257
474536697,9840079,Rewards,Blocked,8536.07,6487.22,2048.85,162.89,2024-11-14,2022-01-03,2028-02-02,226
389174598,7798453,Cashback,Expired,14750.92,2697.67,12053.25,62.99,2024-11-04,2024-08-21,2027-08-22,357
569379165,7150168,Rewards,Active,4305.68,2180.86,2124.82,27.93,2024-11-09,2023-11-27,2025-06-11,843
509077370,2436128,Business,Active,43936.62,23153.16,20783.46,586.33,2024-11-06,2023-06-22,2027-05-21,767
204956010,2859539,Rewards,Blocked,11217.14,523.17,10693.97,25.0,2024-11-03,2023-07-02,2025-04-16,224
866086611,4946691,Rewards,Active,11219.37,1068.05,10151.32,25.0,2024-11-10,2023-08-23,2025-09-28,145
327549543,7385057,Cashback,Expired,1789.01,860.5,928.51,25.0,2024-11-15,2023-10-17,2025-12-16,515
511640736,4564345,Cashback,Blocked,13467.77,9977.07,3490.7,185.84,2024-11-06,2024-11-14,2025-11-06,199
915489720,3581182,Rewards,Expired,7616.53,5945.73,1670.8,88.54,2024-11-11,2023-08-11,2029-07-17,752
254354802,5725519,Business,Expired,42476.97,29966.79,12510.18,415.19,2024-11-02,2021-12-27,2028-12-31,551
187036787,7354661,Business,Blocked,18302.3,13323.02,4979.28,196.59,2024-11-05,2022-05-26,2024-12-02,772
847070179,7154283,Cashback,Active,1420.6,1004.91,415.69,25.0,2024-11-10,2022-03-21,2029-07-11,381
976919050,8447920,Cashback,Active,6833.78,3452.77,3381.01,91.26,2024-11-04,2024-06-26,2027-02-10,843
534465067,7142429,Business,Expired,48033.11,30180.38,17852.73,805.54,2024-11-12,2024-09-05,2025-01-16,418
108749606,6881610,Rewards,Active,10938.63,2451.97,8486.66,28.63,2024-11-11,2023-03-16,2027-02-02,565
388785287,3282663,Cashback,Active,2973.09,606.16,2366.93,25.0,2024-11-13,2024-02-05,2028-09-11,248
268694189,4100766,Business,Blocked,40262.92,3650.73,36612.19,39.13,2024-11-11,2023-04-02,2025-09-28,118
798305289,6181801,Business,Expired,47904.19,8250.92,39653.27,158.59,2024-11-15,2024-08-22,2029-03-16,781
653611515,3175111,Rewards,Expired,11356.5,327.38,11029.12,25.0,2024-11-10,2023-08-04,2028-04-10,292
649150309,1214761,Cashback,Blocked,7460.71,749.73,6710.98,25.0,2024-11-15,2023-06-03,2027-02-15,891
980498710,4626616,Rewards,Expired,7600.58,2706.17,4894.41,57.57,2024-11-01,2023-05-16,2026-05-20,222
827808786,9467823,Cashback,Blocked,14901.58,1645.05,13256.53,45.67,2024-11-10,2024-03-30,2028-02-18,624
116177662,5144106,Rewards,Blocked,5008.26,1884.86,3123.4,29.92,2024-11-04,2024-11-09,2028-04-24,308
415671589,9339798,Business,Blocked,33899.85,6786.98,27112.87,79.94,2024-11-06,2023-01-18,2027-10-27,217
240789520,3965624,Business,Active,43398.45,28892.85,14505.6,700.32,2024-11-04,2023-04-24,2027-03-15,110
643838901,2154141,Rewards,Active,5654.36,2755.49,2898.87,61.23,2024-11-06,2023-02-11,2027-09-10,633
178446872,5566804,Rewards,Active,2190.61,94.77,2095.84,25.0,2024-11-06,2022-12-05,2024-12-04,178
542352752,8355596,Rewards,Blocked,14678.57,164.31,14514.26,25.0,2024-11-11,2023-12-01,2027-03-06,665
351217701,3504163,Rewards,Expired,12849.77,1098.44,11751.33,25.0,2024-11-09,2021-12-17,2026-12-26,729
804969062,7047383,Rewards,Expired,14521.81,10017.51,4504.3,105.96,2024-11-04,2023-10-20,2029-10-19,832
155297401,1853867,Cashback,Blocked,11929.65,5819.28,6110.37,85.81,2024-11-02,2023-08-01,2026-05-02,805
930638080,8576583,Business,Blocked,28041.36,21997.32,6044.04,640.0,2024-11-11,2022-08-13,2025-01-10,353
954954042,7903583,Cashback,Blocked,9868.22,4531.95,5336.27,53.9,2024-11-14,2023-07-26,2028-01-15,109
826614235,7525176,Business,Active,28766.17,21296.76,7469.41,462.2,2024-11-10,2023-07-29,2028-09-04,768
973999879,1749983,Business,Blocked,37389.33,26327.76,11061.57,606.84,2024-11-15,2022-07-31,2029-07-05,282
265867804,1039789,Cashback,Active,7244.76,747.34,6497.42,25.0,2024-11-05,2024-09-03,2028-07-11,464
192783089,8574925,Business,Active,17273.08,8063.51,9209.57,202.25,2024-11-15,2024-11-04,2028-11-05,364
394969888,9343672,Business,Expired,31624.55,15352.54,16272.01,396.5,2024-11-11,2023-05-20,2029-03-22,226
958888671,6680967,Cashback,Active,12700.96,3197.22,9503.74,39.79,2024-11-04,2023-04-21,2027-04-23,189
