customer_id,ssn,first_name,last_name,date_of_birth,email,primary_phone,address_line1,city,state,zip_code,country,credit_score
2867825,026-95-4507,John,Taylor,1947-10-29,garzaanthony@example.org,(802)-895-5226,89083 Robinson Radial,Lisatown,WV,21427,United States,333
8090293,349-36-2548,Jason,Gallagher,1947-10-14,jamesmichael@example.com,(164)-157-7501,78161 Calderon River Suite 931,Lake Jeremyport,CO,31013,United States,342
2694522,390-36-7429,Cynthia,Diaz,1984-04-03,jason41@example.net,(801)-464-8708,327 Nelson Route,Lake Mark,WI,07832,United States,819
4842788,842-05-5169,Richard,Jones,1976-09-13,dianafoster@example.net,(831)-297-1398,42388 Burgess Meadow Suite 532,Daviston,VI,14872,United States,340
3564251,643-21-6917,Candace,Cruz,1997-07-29,tasha01@example.net,(300)-757-3054,514 Moore Alley Suite 828,Port Colleenhaven,PA,26572,United States,614
3564217,383-98-2647,Amber,Osborne,2006-01-21,georgetracy@example.org,(633)-256-6232,3039 Christopher Oval Apt. 822,Arroyoburgh,KS,69664,United States,758
8099076,217-70-3296,Jennifer,Ross,1984-09-11,clam@example.org,(293)-267-3524,15098 Brianna Avenue,Lake Crystalbury,CA,04618,United States,523
6543670,073-66-3900,Joshua,Washington,1951-11-19,esanchez@example.com,(877)-460-9151,16566 Shields Center,North Richardmouth,AS,14823,United States,596
5171761,197-25-8787,Shane,Henderson,1971-10-14,ewright@example.com,(244)-389-8683,80132 Tucker Forest,Barreraburgh,MS,00783,United States,348
7550190,272-59-4674,Rodney,Bernard,2000-02-10,jamesrobinson@example.org,(564)-550-8260,500 Shaw Walk,North Susan,CO,24857,United States,587
2149597,610-09-3854,Richard,David,1967-05-21,harveyrobert@example.net,(162)-908-5107,3534 Anderson Rue Suite 751,South Christineshire,CT,10103,United States,572
4576135,519-34-2171,Sarah,Ibarra,1967-02-14,justin78@example.net,(700)-200-7499,808 Huynh Cove Apt. 411,West Juan,IL,94559,United States,652
6752576,209-88-4326,William,King,1940-10-15,waltersmaria@example.org,(302)-209-7967,2427 Hoffman Creek,Lake Rebeccaside,AZ,48894,United States,577
3484601,441-17-0686,Kyle,Nolan,1939-04-22,jason31@example.com,(822)-604-5525,232 Nicole Burg Apt. 563,Erikville,MS,05576,United States,425
8896868,228-26-7542,Michael,Hoover,1964-11-06,andrewlee@example.com,(410)-284-8410,45868 Crosby Crescent Suite 294,North Candacestad,VA,41615,United States,474
8321474,621-66-1895,Paul,Ray,1968-07-17,fletcheraaron@example.net,(333)-312-7224,6159 Alvarado Crossing,Williamchester,MD,53244,United States,357
5960271,568-17-3144,Robert,Bentley,1957-07-23,richard04@example.com,(625)-813-1164,9957 Ramos Forest,Leonburgh,TN,11615,United States,442
5761145,528-85-5492,Clarence,Crane,1965-11-03,jeffrey32@example.org,(943)-735-3469,79176 Jennifer Lights,Rossberg,SD,90629,United States,588
1093026,769-99-1747,Kimberly,Robinson,2004-05-14,pwilliams@example.org,(192)-845-2681,78895 Salazar Stravenue Suite 872,Colebury,MP,84080,United States,422
5652512,785-67-7940,Courtney,Hill,1944-06-02,jimmy55@example.net,(839)-254-8151,23623 Robert Isle,Perryborough,MP,55570,United States,830
7534336,789-75-0321,Melissa,Cannon,1985-08-23,wsmith@example.com,(521)-534-1383,8893 Robinson Mews Suite 065,Ramseymouth,PW,17229,United States,438
9961107,028-51-9698,Anne,Johnson,1992-03-17,michellewhite@example.com,(718)-902-3953,3755 Ramirez Village Suite 417,Lake Amberstad,IN,85716,United States,642
2151225,800-84-0660,Karen,Herring,1961-01-03,howelljohn@example.com,(618)-153-9124,374 Jackson Rest,Port Loriport,CT,76350,United States,590
1430812,320-74-6150,Randy,Espinoza,1944-03-20,curtisbarton@example.net,(491)-157-1861,058 Stanley Cliff,Alexanderchester,GU,64752,United States,512
2770648,444-47-7533,Jasmine,Graham,2004-11-19,christina87@example.com,(732)-906-2679,945 Mariah Corners Suite 737,Rogersfort,PR,43101,United States,315
4050766,500-28-5814,Lauren,Peterson,1971-06-23,blackjames@example.org,(331)-885-4688,8377 Mcguire Course Suite 363,Elizabethstad,NJ,73045,United States,651
9907391,353-55-9018,Mark,Warner,1970-09-30,john13@example.com,(840)-885-6936,823 Joanna Harbor,Tinaborough,LA,30317,United States,374
7054579,184-39-0232,Jean,Martinez,1940-01-26,tranheidi@example.org,(869)-761-6724,09477 Peterson Center Suite 711,Vasquezshire,SC,90475,United States,504
1899411,156-20-9222,Stacy,Miller,1967-08-27,grantrobert@example.net,(638)-847-3361,677 Dalton Meadow,Ashleyton,RI,97505,United States,604
2664863,782-27-3458,Joseph,Miller,1966-07-09,andreamoore@example.com,(995)-750-6881,974 Jesse Squares Suite 713,Kristinshire,TN,26429,United States,478
8132648,118-70-3684,Deborah,Kerr,1953-03-26,brownlaura@example.net,(283)-990-1534,1746 Mason Park Suite 190,Navarroview,AK,12471,United States,585
4840714,691-74-9620,Stephanie,Key,1970-07-22,hinesgregory@example.net,(424)-877-2243,2967 Theodore Lodge Suite 512,Robertfort,LA,87347,United States,354
7718473,834-98-9013,Benjamin,Miller,1968-03-23,darrell68@example.org,(874)-594-9436,0385 Garrett Trace Apt. 348,West Samuel,UT,64033,United States,359
3037191,030-81-9976,Lauren,Mckinney,1976-03-02,tranchristopher@example.org,(865)-376-4730,27484 Davenport Mountains Apt. 782,Leehaven,WA,18393,United States,451
2171218,283-99-6799,Matthew,French,1970-03-28,campbellkenneth@example.net,(700)-549-2249,78755 Gibson Islands Apt. 396,Port Kimberly,AZ,42205,United States,846
8935224,723-49-6326,Vanessa,Sparks,1954-07-30,ihanna@example.net,(462)-281-5442,71870 Robert Shoal Apt. 174,Cindyfurt,SD,11028,United States,815
6512415,873-87-8743,Norman,Stewart,2000-04-14,williamsonjimmy@example.net,(261)-210-2849,16117 Heather Burgs Apt. 504,Nicholasberg,IA,70122,United States,646
7913081,580-88-2951,George,Miller,1985-12-09,tyleraguilar@example.org,(821)-851-3203,474 Rachel Mountain Suite 821,Landryshire,ME,84247,United States,697
8118722,707-33-7485,Megan,Gonzalez,1986-03-26,yrodriguez@example.net,(190)-301-6612,440 Hill Port Apt. 974,New Laurie,IN,83943,United States,634
4189885,636-33-2241,Courtney,Berger,1939-03-29,kristina09@example.com,(778)-636-5164,45623 Kristin Wells,Alyssaview,MP,22068,United States,359
5311242,845-62-4836,Julie,Morgan,1949-07-20,jmccarty@example.org,(545)-981-9560,516 Joseph Crossing Suite 549,Carsonstad,CT,88953,United States,721
4922880,483-04-9199,Mark,Bishop,1942-06-24,tblankenship@example.net,(808)-231-9079,20047 Colton Plain Apt. 675,Matthewsberg,FM,54880,United States,432
2661307,854-63-6687,Sheila,Ramirez,1984-04-21,scottsampson@example.com,(585)-323-5875,585 Raymond Field,Port Madisonland,TN,28302,United States,504
1358318,052-43-3991,Vanessa,Buchanan,1961-10-20,gallegosangela@example.net,(998)-185-6446,52904 Vanessa Plains,Laurenville,TN,03880,United States,641
3211291,016-46-3899,Brianna,Smith,1969-12-28,martinezrobert@example.org,(941)-559-1925,7589 Shannon Forges,Lake Kristahaven,ME,60537,United States,455
1522621,063-62-6581,Ronald,Rodriguez,1994-03-30,lammarc@example.org,(293)-536-9315,49985 Vang Pines,Shawnchester,CT,92484,United States,482
2919549,874-84-9034,Jennifer,Lewis,1995-05-01,robertwilcox@example.com,(842)-366-4273,156 Ortega Landing Apt. 711,North Ryanstad,AS,17555,United States,767
